"b'Relationships should be like Pani Puri. Crunchy, lil spicy \xf0\x9f\x8c\xb6 &amp; Full of emotions. \nFor a delicious scrumptious Pani\xe2\x80\xa6 https://t.co/r6pXlZCQRJ'",2020-06-20 13:01:15,0,0,#zomato
b'Celebrate #FathersDay with a meal from your favorite food-court #Eatopia. We are now delivering via #Zomato and\xe2\x80\xa6 https://t.co/LYKhKrHh5d',2020-06-20 12:56:06,0,0,#zomato
"b""You can't get enough of the Butter Chicken served at #Nest  @hojobengaluru\xe2\xad\x90.\nTaste it to know how delicious \xf0\x9f\x98\x8bit is.\xe2\x80\xa6 https://t.co/ldniPTkmCT""",2020-06-20 12:54:15,0,0,#zomato
b'RT @RajeshDGohil: #DeclareMaharashtraCabRatesDear @Zomato as I indian public want to #bycottchina and you are backed by many Chinese compan\xe2\x80\xa6',2020-06-20 12:09:34,0,3,#zomato
b'RT @125Gms: HOW TO ORDER YOUR YUMMIEE...TAKEAWAY \xf0\x9f\x98\x8b\n\nWe will take good care of your food \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\n\n#125gms #UBE #swiggy #zomato #homedelivery #aut\xe2\x80\xa6',2020-06-20 12:05:38,0,1,#zomato
"b'After #Swiggy and #Zomato, #Amazon to enter sell liquor delivery business, starting with West Bengal: Report\xe2\x80\xa6 https://t.co/DT08qqNkyB'",2020-06-20 11:27:06,1,0,#zomato
"b'Following Swiggy and Zomato, Amazon and BigBasket are now getting into the lucrative business of home-delivering al\xe2\x80\xa6 https://t.co/dN5qIRYXh6'",2020-06-20 11:25:37,1,0,#zomato
b'Gift your father a hygiene fresh made #Eggless cake on #FathersDay \xe2\x9d\xa4\xef\xb8\x8f\n\xf0\x9f\x93\xb198154-90869\n83601-05030\xf0\x9f\x93\xb1 #Zomato #Swiggy\xe2\x80\xa6 https://t.co/Cqw4Gia3BT',2020-06-20 10:54:31,0,0,#zomato
b'RT @dtechpod: #technews #podcasting - #Facebook takes down #DonaldTrump campaign using Nazi symbol after initially approving; how #TikTok r\xe2\x80\xa6',2020-06-20 10:11:08,0,1,#zomato
"b'Dear Bangaloreans,\n\nOrder your Butti now at @ZomatoIN @swiggy_in \n\nFor subscription packages contact or WhatsApp on\xe2\x80\xa6 https://t.co/aTGAtCWprN'",2020-06-20 10:10:19,1,0,#zomato
